Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
AMD,50.94,Call,51.00,04/24/20,11,2.13,2.17,2.20,2.18,8817,1495,5.9,62.35%,04/13/20
TDOC,154.13,Put,135.00,05/15/20,32,7.00,8,9.00,7.58,812,138,5.88,90.25%,04/13/20
RAD,14.16,Call,13.00,05/15/20,32,2.91,3.01,3.10,2.98,1185,202,5.87,147.55%,04/13/20
MRO,4.39,Call,4.50,05/08/20,25,0.41,0.51,0.60,0.53,810,139,5.83,125.89%,04/13/20
BCOR,12.71,Call,15.00,10/16/20,186,1.60,1.7,1.80,1.80,863,148,5.83,71.00%,04/13/20
ADBE,320.65,Put,315.00,05/15/20,32,12.70,13.18,13.65,14.08,1414,243,5.82,45.15%,04/13/20
ZM,135.92,Call,160.00,05/01/20,18,2.20,3.1,4.00,3.50,1473,253,5.82,90.50%,04/13/20
DAL,23.25,Put,16.00,06/19/20,67,1.31,1.44,1.57,1.33,843,146,5.77,120.61%,04/13/20
TECK,8.3,Call,7.00,05/15/20,32,1.25,1.58,1.90,1.75,1021,179,5.7,106.64%,04/13/20
JPM,98.19,Call,107.00,04/17/20,4,0.75,0.9,1.05,0.96,3142,552,5.69,90.32%,04/13/20
SNAP,13.54,Put,13.50,04/24/20,11,1.02,1.03,1.04,1.04,773,136,5.68,113.70%,04/13/20
NEWT,15.88,Call,20.00,09/18/20,158,1.50,1.8,2.10,1.75,1137,201,5.66,73.02%,04/13/20
WFC,31.43,Call,36.00,04/24/20,11,0.43,0.46,0.50,0.44,1481,262,5.65,82.20%,04/13/20
TSLA,650.95,Call,680.00,04/17/20,4,16.50,16.8,17.10,16.81,5095,906,5.62,104.48%,04/13/20
JPM,98.19,Call,98.00,04/17/20,4,3.70,4.05,4.40,3.90,2435,434,5.61,92.72%,04/13/20
NFLX,396.72,Put,375.00,04/17/20,4,2.25,2.35,2.45,2.27,3589,641,5.6,58.43%,04/13/20
WFC,31.43,Call,34.00,04/24/20,11,0.75,0.83,0.91,0.88,1639,294,5.57,83.52%,04/13/20
AMD,50.94,Call,51.00,04/17/20,4,1.31,1.33,1.34,1.34,36857,6619,5.57,64.19%,04/13/20
AMZN,2168.87,Put,2000.00,04/17/20,4,1.88,1.93,1.98,1.95,5001,901,5.55,46.26%,04/13/20
AMZN,2168.87,Call,2150.00,04/17/20,4,44.50,45.75,47.00,46.00,14938,2690,5.55,39.46%,04/13/20
TSLA,650.95,Call,620.00,04/17/20,4,39.75,42.38,45.00,44.00,8138,1475,5.52,96.27%,04/13/20
AMD,50.94,Call,53.00,04/17/20,4,0.53,0.55,0.58,0.54,7334,1335,5.49,60.84%,04/13/20
BP,24.91,Call,30.00,10/16/20,186,1.10,1.3,1.49,1.16,1244,227,5.48,38.57%,04/13/20
NFLX,396.72,Call,560.00,11/20/20,221,7.95,8.35,8.75,8.50,1413,258,5.48,37.63%,04/13/20
TSLA,650.95,Call,715.00,04/17/20,4,9.00,9.28,9.55,9.40,1271,233,5.45,110.94%,04/13/20
TSLA,650.95,Call,625.00,04/17/20,4,38.50,41.55,44.60,41.11,5697,1045,5.45,97.80%,04/13/20
AMZN,2168.87,Call,2140.00,04/17/20,4,49.70,51.45,53.20,50.40,3987,736,5.42,37.59%,04/13/20
TSLA,650.95,Call,665.00,04/17/20,4,19.25,21.4,23.55,21.90,1630,302,5.4,103.16%,04/13/20
JPM,98.19,Put,79.00,04/17/20,4,0.07,0.11,0.14,0.11,1035,193,5.36,109.18%,04/13/20
NNN,33.13,Put,30.00,04/17/20,4,0.65,0.83,1.00,0.95,593,111,5.34,164.66%,04/13/20
BAC,23.92,Put,24.00,04/24/20,11,1.25,1.34,1.42,1.36,1263,237,5.33,79.91%,04/13/20
CVNA,75.28,Put,55.00,05/15/20,32,4.00,4.55,5.10,4.50,1031,194,5.31,159.25%,04/13/20
APHA,3.47,Call,4.00,04/24/20,11,0.20,0.23,0.25,0.25,2126,404,5.26,181.80%,04/13/20
JNJ,139.77,Put,137.00,04/17/20,4,2.01,2.46,2.90,2.14,1864,356,5.24,58.02%,04/13/20
AMZN,2168.87,Call,2170.00,04/17/20,4,34.40,35.2,36.00,35.24,3992,762,5.24,39.34%,04/13/20
BCRX,2.35,Call,2.00,05/15/20,32,0.58,0.76,0.94,0.72,677,130,5.21,208.18%,04/13/20
SQ,59.42,Call,58.00,04/17/20,4,3.10,3.18,3.25,3.10,1693,326,5.19,94.50%,04/13/20
AMZN,2168.87,Put,2130.00,04/17/20,4,18.40,19.63,20.85,19.60,2014,389,5.18,39.93%,04/13/20
HTGC,9.15,Call,10.00,05/15/20,32,0.25,0.48,0.70,0.69,527,102,5.17,93.83%,04/13/20
NFLX,396.72,Put,372.50,04/17/20,4,1.71,1.88,2.05,2.00,1303,252,5.17,60.10%,04/13/20
BYND,76.67,Put,72.00,04/17/20,4,1.21,1.46,1.72,1.50,645,125,5.16,107.37%,04/13/20
JNJ,139.77,Call,150.00,04/24/20,11,0.60,0.89,1.18,0.85,655,127,5.16,40.50%,04/13/20
AUY,4.16,Put,3.50,05/15/20,32,0.16,0.18,0.19,0.18,923,179,5.16,96.46%,04/13/20
TSLA,650.95,Call,655.00,04/17/20,4,25.20,26.65,28.10,25.60,2768,536,5.16,101.01%,04/13/20
YUMC,45.75,Call,45.00,07/17/20,95,4.40,4.5,4.60,4.60,1872,365,5.13,44.88%,04/13/20
AMZN,2168.87,Call,2120.00,04/17/20,4,61.80,64.9,68.00,65.40,3898,762,5.12,39.66%,04/13/20
FB,174.79,Call,350.00,01/21/22,648,1.55,1.6,1.64,1.63,13018,2557,5.09,29.21%,04/13/20
NTAP,41.63,Call,41.00,04/24/20,11,1.66,2.2,2.73,2.07,600,118,5.08,60.40%,04/13/20
RCL,33.37,Put,32.00,04/17/20,4,2.09,2.25,2.40,2.15,2355,464,5.08,204.35%,04/13/20
AMZN,2168.87,Put,2020.00,04/17/20,4,2.13,2.53,2.92,2.46,2356,465,5.07,43.71%,04/13/20
AMZN,2168.87,Put,2015.00,04/17/20,4,2.01,2.37,2.73,2.40,1026,203,5.05,44.68%,04/13/20
ROKU,96.56,Call,98.00,04/17/20,4,2.56,2.63,2.70,2.59,1576,312,5.05,80.10%,04/13/20
AMD,50.94,Put,50.00,04/24/20,11,1.78,1.87,1.95,1.84,2923,588,4.97,65.52%,04/13/20
AAPL,273.25,Call,272.50,04/17/20,4,5.10,5.2,5.30,5.14,12700,2556,4.97,41.54%,04/13/20
WFC,31.43,Put,29.00,05/01/20,18,1.06,1.13,1.20,1.18,690,139,4.96,82.01%,04/13/20
TSLA,650.95,Put,630.00,04/17/20,4,16.50,16.83,17.15,16.85,5156,1041,4.95,97.37%,04/13/20
MO,40.44,Put,47.50,01/21/22,648,11.75,13.38,15.00,11.80,543,110,4.94,37.41%,04/13/20
CRM,152.5,Call,157.50,04/17/20,4,0.75,1.32,1.89,1.18,662,134,4.94,47.01%,04/13/20
AMZN,2168.87,Put,2150.00,04/17/20,4,27.00,27.6,28.20,27.50,2208,448,4.93,40.25%,04/13/20
VKTX,5.64,Call,6.00,04/17/20,4,0.25,0.3,0.35,0.30,2670,542,4.93,188.52%,04/13/20
BAC,23.92,Put,23.00,05/01/20,18,1.06,1.1,1.14,1.10,1142,232,4.92,73.36%,04/13/20
NFLX,396.72,Call,405.00,04/17/20,4,5.00,5.2,5.40,5.10,5984,1217,4.92,51.33%,04/13/20
